категория;Поисковые слова;Категория поисковых слов;Наименование поставщика социальных услуг;Адрес места нахождения поставщика социальных услуг;Описание;Контактная информация поставщика социальных услуг (телефоны, адрес электронной почты...);Сайт;Иконка;pos;Пресет;Район
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Федеральное государственное бюджетное учреждение «Федеральный научный центр реабилитации инвалидов им. Г.А. Альбрехта» Министерства труда и социальной защиты Российской Федерации;195067, г Санкт-Петербург, ул. Бестужевская, д. 50;* Пример описания;544-22-66;http://center-albreht.ru;<i class="fas fa-hand-holding-medical"></i>;30.429712 59.979065;islands#redIcon;Пискарёвка
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Общество с ограниченной ответственностью «Социальный гериатрический центр «Опека Комфорт»;194044, г Санкт-Петербург, пр-кт. Большой Сампсониевский, д. 4-6,  Литер А;* Пример описания;242-50-42, 8-800-555-54-03, +7-963-304-95-72;http://sgc-opeca.ru;<i class="fas fa-hand-holding-medical"></i>;30.343914 59.957354;islands#redIcon;Выборгский район
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Общество с ограниченной ответственностью «Агентство ЮСИ»;195112, г Санкт-Петербург, ул. Республиканская, д. 24, корп. 1,  Строение 1;* Пример описания;966-91-77;http://socmeduslugi.ru;<i class="fas fa-hand-holding-medical"></i>;30.413964 59.933988;islands#redIcon;муниципальный округ Малая Охта
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Общество с ограниченной ответственностью «Социальный гериатрический центр «Опека»;196643, г Санкт-Петербург, п. Понтонный, ул. Клубная, д. 5,  Литер А;* Пример описания;8-800-555-54-03;http://sgc-opeca.ru;<i class="fas fa-hand-holding-medical"></i>;30.613929 59.787034;islands#redIcon;Некоммерческие организации
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Общество с ограниченной ответственностью «Эглин»;198152, г Санкт-Петербург, ул. Новостроек, д. 3;* Пример описания;8-960-254-12-97;http://spb-rc.ru;<i class="fas fa-hand-holding-medical"></i>;30.261529 59.876414;islands#redIcon;Кировский район
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Региональная общественная организация «Центр реабилитации инвалидов «ОРТОЛЮКС»;197755, г Санкт-Петербург, п. Лисий Нос, ул. Железнодорожная, д. 6;* Пример описания;434-99-60;;<i class="fas fa-hand-holding-medical"></i>;30.012471 60.017584;islands#redIcon;территория Раздельная
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Общество с ограниченной ответственностью «Наша забота»;194214, г Санкт-Петербург, пр-кт. Энгельса, д. 71,  Литер Б;* Пример описания;424-42-03;http://nashazabota.ru;<i class="fas fa-hand-holding-medical"></i>;30.322111 60.02129;islands#redIcon;территория Удельная
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Адмиралтейского района Санкт-Петербурга»;190103, г Санкт-Петербург, наб. Реки Фонтанки, д. 152а;* Пример описания;575-44-90;http://kcson.admiral.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.28449 59.914958;islands#blueIcon;Адмиралтейский район
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Петродворцового района Санкт-Петербурга»;198510, г Санкт-Петербург, г. Петергоф, ул. Юты Бондаровской, д. 23,  Литер А;* Пример описания;417-45-53;http://kcsonp.ru;<i class="fas fa-hand-holding-medical"></i>;29.928865 59.862199;islands#blueIcon;Петродворцовый район
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Московского района»;196135, г Санкт-Петербург, ул. Ленсовета, д. 4,  Литер А;* Пример описания;241-34-92;http://kcson-mosk.ru;<i class="fas fa-hand-holding-medical"></i>;30.329909 59.860066;islands#blueIcon;Московский район
